Time,True Heading
0,0
60,0.61986
120,0.62074
180,0.621624
240,0.622512
300,0.623404
360,0.624299
420,0.625199
480,0.626102
540,0.62701
600,0.627921
660,0.628837
720,0.629756
780,0.630679
840,0.631607
900,0.632538
960,0.633474
1020,0.634413
1080,0.635357
1140,0.636305
1200,0.637257
1260,0.638213
1320,0.639173
1380,0.640138
1440,0.641106
1500,0.642079
1560,0.643056
1620,0.644038
1680,0.645023
1740,0.646013
1800,0.647007
1860,0.648006
1920,0.649009
1980,0.650016
2040,0.651028
2100,0.652044
2160,0.653065
2220,0.65409
2280,0.655119
2340,0.656153
2400,0.657191
2460,0.658234
2520,0.659282
2580,0.660334
2640,0.66139
2700,0.662452
2760,0.663517
2820,0.664588
2880,0.665663
2940,0.666743
3000,0.667827
3060,0.668917
3120,0.67001
3180,0.671109
3240,0.672213
3300,0.673321
3360,0.674434
3420,0.675552
3480,0.676675
3540,0.677802
3600,0.678935
3660,0.680072
3720,0.681215
3780,0.682362
3840,0.683515
3900,0.684672
3960,0.685835
4020,0.687002
4080,0.688175
4140,0.689352
4200,0.690535
4260,0.691723
4320,0.692916
4380,0.694114
4440,0.695318
4500,0.696526
4560,0.69774
4620,0.69896
4680,0.700184
4740,0.701414
4800,0.702649
4860,0.70389
4920,0.705136
4980,0.706387
5040,0.707644
5100,0.708906
5160,0.710174
5220,0.711447
5280,0.712726
5340,0.71401
5400,0.7153
5460,0.716595
5520,0.717896
5580,0.719203
5640,0.720515
5700,0.721833
5760,0.723157
5820,0.724487
5880,0.725822
5940,0.727163
6000,0.72851
6060,0.729863
6120,0.731222
6180,0.732586
6240,0.733957
6300,0.735333
6360,0.736715
6420,0.738104
6480,0.739498
6540,0.740899
6600,0.742305
6660,0.743718
6720,0.745137
6780,0.746561
6840,0.747992
6900,0.74943
6960,0.750873
7020,0.752323
7080,0.753779
7140,0.755241
7200,0.75671
7260,0.758185
7320,0.759666
7320,0.761154
7320,0.761154
7380,1.045446
7440,1.048262
7500,1.051091
7560,1.053932
7620,1.056787
7680,1.059654
7740,1.062533
7800,1.065425
7860,1.06833
7920,1.071248
7980,1.074178
8040,1.077121
8100,1.080077
8160,1.083045
8220,1.086026
8280,1.089019
8340,1.092026
8400,1.095045
8460,1.098077
8520,1.101121
8580,1.104178
8640,1.107248
8700,1.11033
8760,1.113425
8820,1.116532
8880,1.119653
8940,1.122785
9000,1.125931
9060,1.129089
9120,1.132259
9180,1.135442
9240,1.138638
9300,1.141846
9360,1.145066
9420,1.148299
9480,1.151544
9540,1.154802
9600,1.158072
9660,1.161355
9720,1.164649
9780,1.167956
9840,1.171275
9900,1.174607
9960,1.17795
10020,1.181306
10080,1.184674
10140,1.188053
10200,1.191445
10260,1.194849
10320,1.198264
10380,1.201692
10440,1.205131
10500,1.208582
10560,1.212044
10620,1.215519
10680,1.219005
10740,1.222502
10800,1.226011
10860,1.229531
10920,1.233063
10980,1.236606
11040,1.24016
11100,1.243725
11160,1.247301
11220,1.250889
11280,1.254487
11340,1.258096
11400,1.261716
11460,1.265347
11520,1.268988
11580,1.27264
11640,1.276302
11700,1.279974
11760,1.283657
11820,1.28735
11880,1.291054
11940,1.294767
12000,1.29849
12060,1.302223
12120,1.305966
12180,1.309718
12240,1.31348
12300,1.317251
12360,1.321031
12420,1.324821
12480,1.32862
12540,1.332428
12600,1.336245
12660,1.34007
12720,1.343905
12780,1.347747
12840,1.351599
12900,1.355458
12960,1.359326
13020,1.363202
13080,1.367085
13140,1.370977
13200,1.374876
13260,1.378783
13320,1.382697
13380,1.386619
13440,1.390548
13500,1.394483
13560,1.398426
13620,1.402376
13680,1.406332
13740,1.410294
13800,1.414263
13860,1.418238
13920,1.42222
13980,1.426207
14040,1.4302
14100,1.434198
14160,1.438202
14220,1.442211
14280,1.446226
14340,1.450245
14400,1.45427
14460,1.458299
14520,1.462332
14580,1.466371
14640,1.470413
14700,1.474459
14760,1.47851
14820,1.482564
14880,1.486621
14940,1.490682
15000,1.494747
15060,1.498814
15120,1.502885
15180,1.506958
15240,1.511034
15300,1.515113
15360,1.519193
15420,1.523276
15480,1.527361
15540,1.531448
15600,1.535536
15600,1.539626
15600,1.539626
15660,-1.054011
15720,-1.056387
15780,-1.058771
15840,-1.061163
15900,-1.063563
15960,-1.06597
16020,-1.068386
16080,-1.070809
16140,-1.073241
16200,-1.07568
16260,-1.078127
16320,-1.080582
