Time,Error
0,0
60,37.06672
120,107.571318
180,204.612503
240,318.691043
300,438.640197
360,552.718631
420,649.759792
480,720.264925
540,757.332877
600,757.335714
660,720.273918
720,649.776376
780,552.745572
840,438.682446
900,318.758161
960,204.725854
1020,107.793786
1080,37.706634
1140,6.877213
1200,6.868013
1260,37.708313
1320,107.800834
1380,204.73662
1440,318.771624
1500,438.698184
1560,552.763771
1620,649.798063
1680,720.301059
1740,757.371385
1800,757.38141
1860,720.332315
1920,649.854478
1980,552.8532
2040,438.835471
2100,318.986515
2160,205.097818
2220,108.511452
2280,39.713879
2340,14.208607
2400,14.188885
2460,39.706942
2520,108.522192
2580,205.120703
2640,319.019417
2700,438.877966
2760,552.905965
2820,649.919503
2880,720.413127
2940,757.483349
3000,757.502133
3060,720.471609
3120,650.024596
3180,553.071673
3240,439.131038
3300,319.413886
3360,205.781519
3420,109.813646
3480,43.147742
3540,22.030749
3600,21.999566
3660,43.121356
3720,109.822037
3780,205.814045
3840,319.466485
3900,439.202766
3960,553.163625
4020,650.139813
4080,720.615366
4140,757.682478
4200,757.711937
4260,720.706929
4320,650.304046
4380,553.421965
4440,439.596235
4500,320.078138
4560,206.835081
4620,111.795256
4680,47.973216
4740,30.394229
4800,30.349916
4860,47.917073
4920,111.793155
4980,206.873291
5040,320.1496
5100,439.699038
5160,553.557423
5220,650.476356
5280,720.923447
5340,757.983859
5400,758.026247
5460,721.05514
5520,650.712364
5580,553.92822
5640,440.263104
5700,321.024987
5760,208.329158
5820,114.565286
5880,54.131889
5940,39.390728
6000,39.331291
6060,54.036106
6120,114.541157
6180,208.365663
6240,321.111076
6300,440.395408
6360,554.10818
6420,650.945456
6480,721.3512
6540,758.400441
6600,758.458627
6660,721.532123
6720,651.270114
6780,554.619375
6840,441.175216
6900,322.32476
6960,210.385267
7020,118.333435
7080,61.783481
7140,49.412199
7200,49.335269
7260,61.621423
7320,118.224685
7380,210.31205
7380,
7440,nt: 210.312050
7500,
7560,
7620,to Moscow ===
7680,"inates 0.855435 0.044506 and altitude 119.481600m, Moscow has coordinates 0.967066 0.661590 and altitude 179.222400m"
7740,210.31205
7800,260.270354
7860,359.811316
7920,500.966486
7980,669.302691
8040,847.501723
8100,1017.564261
8160,1162.525834
8220,1268.029237
8280,1323.675699
8340,1324.016933
8400,1269.08192
8460,1164.383708
8520,1020.408559
8580,851.647785
8640,675.284206
8700,509.66292
8760,372.518873
8820,278.172578
8880,232.557738
8940,232.765471
9000,278.779882
9060,373.483811
9120,510.955558
9180,676.906253
9240,853.625627
9300,1022.787105
9360,1167.226323
9420,1272.474808
9480,1328.077764
9540,1328.568089
9600,1273.986597
9660,1169.891389
9720,1026.859249
9780,859.542526
9840,685.394941
9900,523.16702
9960,390.962743
10020,302.567859
10080,261.342989
10140,261.585597
10200,303.308183
10260,392.198358
10320,524.879732
10380,687.588733
10440,862.250877
10500,1030.141318
10560,1173.832075
10620,1278.702163
10680,1334.217768
10740,1334.883488
10800,1280.75362
10860,1177.444207
10920,1035.648841
10980,870.223858
11040,698.950275
11100,541.014526
11160,414.743517
11220,332.896176
11280,296.041471
11340,296.323675
11400,333.784588
11460,416.285565
11520,543.213121
11580,701.812692
11640,873.789963
11700,1039.992757
11760,1182.674882
11820,1287.021669
11880,1342.395936
11940,1343.263493
12000,1289.693697
12060,1187.373937
12120,1047.141254
12180,884.095496
12240,716.384033
12300,563.602785
12360,444.045558
12420,368.964789
12480,336.23258
12540,336.568285
12600,370.038974
12660,445.95605
12720,566.379113
12780,720.037084
12840,888.669899
12900,1052.72621
12960,1194.104855
13020,1297.760041
13080,1352.926733
13140,1354.021053
13200,1301.128737
13260,1200.021876
13320,1061.706063
13380,901.556795
13440,738.10119
13500,591.254086
13560,478.9457
13620,410.556258
13680,381.595787
13740,382.007087
13800,411.876092
13860,481.314078
13920,594.726063
13980,742.688922
14040,907.306362
14100,1068.720878
14160,1208.465977
14220,1311.235305
14280,1366.113397
14340,1367.455933
14400,1315.366386
14460,1215.714385
14520,1079.696327
14580,922.984717
14640,764.469255
14700,624.233552
14760,519.490075
14820,457.544247
14880,431.998292
14940,432.513591
15000,459.18509
15060,522.419495
15120,628.519294
15180,770.116452
15240,930.03501
15300,1088.265769
15360,1225.998825
15420,1327.6503
15480,1382.136615
15540,1383.745707
15600,1332.604493
15660,1234.699487
15660,1101.448782
15720,948.851606
15780,796.144156
15840,663.423616
15900,566.876701
15960,511.685851
16020,
16080,nt: 511.685851
16140,
16200,
16260,to Oslo ===
16320,"dinates 0.967066 0.661590 and altitude 179.222400m, Oslo has coordinates 1.050582 0.193739 and altitude 207.568800m"
16380,511.685851
16440,514.871212
16500,528.715803
16560,562.17275
16620,619.112325
16680,694.513041
16740,776.865687
16800,852.885416
16860,910.866951
16920,942.381759
