Time,Error
0,0
60,37.06672
120,107.789086
180,205.550577
240,320.885967
300,442.359234
360,557.837758
420,655.861595
480,726.851923
540,764.034593
600,764.037494
660,727.145301
720,657.203586
780,561.191334
840,448.517813
900,330.124772
960,217.480562
1020,121.551543
1080,51.876217
1140,16.107198
1200,16.110002
1260,52.162646
1320,122.865366
1380,220.738971
1440,336.072835
1500,457.443894
1560,572.817027
1620,670.791117
1680,741.780015
1740,778.975565
1800,778.985909
1860,742.098347
1920,672.16889
1980,576.182375
2040,463.550087
2100,345.221472
2160,232.691768
2220,137.001677
2280,67.881371
2340,32.866458
2400,32.871405
2460,68.171705
2520,138.322534
2580,235.962083
2640,351.188436
2700,472.505978
2760,587.851867
2820,685.81318
2880,756.798409
2940,793.997081
3000,794.016872
3060,757.145948
3120,687.242843
3180,591.29746
3240,478.730695
3300,360.5113
3360,248.17553
3420,152.853554
3480,84.412213
3540,50.019044
3600,50.02708
3660,84.708697
3720,154.184722
3780,251.463376
3840,366.504141
3900,487.721423
3960,603.0116
4020,700.943058
4080,771.915401
4140,809.114158
4200,809.145808
4260,772.29955
4320,702.437405
4380,606.556305
4440,494.09064
4500,376.035131
4560,263.977239
4620,169.140426
4680,101.457381
4740,67.637022
4800,67.649308
4860,101.762566
4920,170.484326
4980,267.285966
5040,382.059173
5100,503.124062
5160,618.32595
5220,716.207753
5280,787.156526
5340,824.351839
5400,824.398331
5460,787.586401
5520,717.782639
5580,621.993406
5640,509.670739
5700,391.842139
5760,280.154634
5820,185.921115
5880,119.072786
5940,85.823109
6000,85.840315
6060,119.389384
6120,187.280493
6180,283.487267
6240,397.901862
6300,518.753622
6360,633.828234
6420,731.636408
6480,802.548511
6540,839.736157
6600,839.80133
6660,803.036081
6720,733.3132
6780,637.651744
6840,525.526979
6900,408.008001
6960,296.811785
7020,203.337753
7080,137.458236
7140,104.853782
7200,104.877212
7260,137.780708
7320,204.684992
7380,300.096244
7380,300.096244
7440,334.132155
7500,416.917531
7560,557.929735
7620,741.838127
7680,938.067275
7740,1118.736239
7800,1266.32151
7860,1370.975669
7920,1425.900798
7980,1426.326684
8040,1371.554669
8100,1266.823503
8160,1123.130529
8220,955.498414
8280,781.021439
8340,617.327078
8400,481.073046
8460,385.571825
8520,337.639143
8580,337.956829
8640,386.876745
8700,484.410106
8760,624.118826
8820,792.387845
8880,971.636348
8940,1143.202655
9000,1289.517667
9060,1395.896943
9120,1451.959369
9180,1452.562353
9240,1398.184345
9300,1294.761601
9360,1153.047177
9420,987.591854
9480,815.442186
9540,654.576027
9600,521.860471
9660,430.039547
9720,384.550759
9780,384.966488
9840,431.606311
9900,525.524651
9960,661.646635
10020,827.054369
10080,1004.235824
10140,1174.386185
10200,1319.793523
10260,1425.678546
10320,1481.607448
10380,1482.416946
10440,1428.594029
10500,1326.115922
10560,1185.815588
10620,1022.367352
10680,852.971334
10740,695.70477
10800,567.2308
10860,479.43623
10920,436.440879
10980,436.977334
11040,481.354388
11100,571.452241
11160,703.525834
11220,865.537692
11280,1040.19374
11340,1208.596118
11400,1352.883916
11460,1458.160376
11520,1513.920567
11580,1514.972876
11640,1461.815045
11700,1360.474858
11760,1221.879174
11820,1060.838346
11880,894.699558
11940,741.576454
12000,617.778317
12060,534.192261
12120,493.697362
12180,494.382905
12240,536.545868
12300,622.691851
12360,750.324755
12420,908.432918
12480,1080.095674
12540,1246.38892
12600,1389.311374
12660,1493.83766
12720,1549.379536
12780,1550.710522
12840,1498.339953
12900,1398.353578
12960,1261.782827
13020,1103.578684
13080,941.211805
13140,792.745463
13200,673.980601
13260,594.711182
13320,556.69857
13380,557.566492
13440,597.59827
13500,679.742153
13560,802.623253
13620,956.350951
13680,1124.538694
13740,1288.328038
13800,1429.60434
13860,1533.211569
13920,1588.469823
13980,1590.112532
14040,1538.661266
14100,1440.265521
14160,1306.067603
14220,1151.153841
14280,993.07761
14340,849.747175
14400,736.309547
14460,661.420621
14520,625.867425
14580,626.954154
14640,664.946046
14700,743.07932
14760,860.951119
14820,1009.839237
14880,1174.045096
14940,1334.888638
15000,1474.188411
15060,1576.667723
15120,1631.553443
15180,1633.53835
15240,1583.161543
15300,1486.647531
15360,1355.262428
15420,1204.230262
15480,1051.155566
15540,913.704298
15600,806.262231
15660,736.376041
15720,771.749607
15720,771.749607
15780,760.285665
15840,751.914637
15900,755.406114
15960,772.293315
16020,803.285369
16080,847.212511
16140,896.475281
16200,938.512335
16260,962.287343
16320,962.667127
16380,940.491192
16440,900.993393
16500,852.65571
16560,806.027008
16620,771.074669
16680,753.18662
16740,750.588729
16800,755.880044
16860,760.564794
16920,759.282718
16980,752.057956
17040,744.465678
17100,745.545842
17160,763.344005
17220,799.907193
17280,849.473503
17340,901.159979
17400,943.364575
17460,967.08616
17520,967.611759
17580,945.078407
