City,Latitude,LatHeading,Longitude,LonHeading,Altitude[ft],TAS
Lisbon,38°46'52.68'',N,9° 8' 9.31'',W,374,200
Paris,49°0'46.07'',N,2°33'0'',W,392,300
Moscow,55°24'31.67'',N,37°54'22.68'',E,588,200
Oslo,60°11'38.04'',N,11°6'1.44'',E,681,300
Rome,41°48'1'',N,12°14'20'',E,13,200
Madrid,40°28'18.93'',N,3°33'45.5'',W,1998,300
Funchal,32°41'52.44'',N,16°46'28.2'',W,192,200
Ponta Delgada,37°44'28.32'',N,25°41'52.44'',W,259,300
New York,40°38'23.28'',N,73°46'44.04'',W,13,200
Halifax,44°52'50.87'',N,63°30'30.95'',W,477,300
London,51°28'14.16'',N,0°27'42.99'',W,83,200
Lisbon,38°46'52.68'',N,9° 8' 9.31'',W,374,300
