Pressure [mbar],Output [Volt] at -45C,Output [Volt] at 25C,Output [Volt] at 125C
1.0000000e+01,9.6891912e-02,3.9214138e-02,8.0487284e-02
1.5000000e+01,6.0851900e-02,2.2426346e-02,7.6988551e-02
2.0000000e+01,3.7395234e-02,1.0771168e-01,1.5599585e-02
2.5000000e+01,1.1393540e-01,4.9464483e-02,5.9137552e-02
3.0000000e+01,2.3785157e-02,4.4588951e-02,1.4701188e-01
3.5000000e+01,1.1012565e-01,8.0013170e-02,3.7981724e-02
4.0000000e+01,7.5780823e-02,1.4446871e-01,1.0942118e-01
4.5000000e+01,1.1891421e-01,9.1045177e-02,5.2457714e-02
5.0000000e+01,1.5745503e-01,1.2253808e-01,1.2698883e-01
5.5000000e+01,1.8132342e-01,7.9968573e-02,1.4443765e-01
6.0000000e+01,1.4325421e-01,1.5679809e-01,1.3689275e-01
6.5000000e+01,1.5888049e-01,1.4951198e-01,1.9430109e-01
7.0000000e+01,8.3664964e-02,1.5989808e-01,1.6326326e-01
7.5000000e+01,1.3893389e-01,1.9675427e-01,2.2881573e-01
8.0000000e+01,2.9442284e-01,2.0526728e-01,2.3766409e-01
8.5000000e+01,2.3971441e-01,2.1739275e-01,1.9510525e-01
9.0000000e+01,2.6161016e-01,3.5119408e-01,2.2929842e-01
9.5000000e+01,2.0265181e-01,2.8627189e-01,2.4003381e-01
1.0000000e+02,2.5130987e-01,3.2559117e-01,2.8326019e-01
1.0500000e+02,2.0100899e-01,3.3835876e-01,3.0732601e-01
1.1000000e+02,2.3209178e-01,2.7399005e-01,3.0223021e-01
1.1500000e+02,2.4903023e-01,2.7989896e-01,2.8453107e-01
1.2000000e+02,2.4876790e-01,2.4659760e-01,2.6097740e-01
1.2500000e+02,2.8395577e-01,2.8843658e-01,2.5828123e-01
1.3000000e+02,3.0457423e-01,3.3019425e-01,3.6741545e-01
1.3500000e+02,3.3769783e-01,3.5221405e-01,4.1688049e-01
1.4000000e+02,4.3349382e-01,3.8328499e-01,3.6107504e-01
1.4500000e+02,4.7950391e-01,3.9089416e-01,3.6105251e-01
1.5000000e+02,3.8302689e-01,3.5157274e-01,4.1511855e-01
1.5500000e+02,4.4169029e-01,4.0075645e-01,3.2382861e-01
1.6000000e+02,4.3875983e-01,4.9826069e-01,3.9475517e-01
1.6500000e+02,4.1367293e-01,4.3147364e-01,3.3891002e-01
1.7000000e+02,4.3542224e-01,4.2159795e-01,4.5036563e-01
1.7500000e+02,4.1684755e-01,4.6336205e-01,4.4848812e-01
1.8000000e+02,5.4300436e-01,5.0220163e-01,4.7474419e-01
