=== Waypoint List ===
Latitude = 38.781300, Longitude = -9.135920, Altitude = 113.995200m, TAS = 300.000000, Location = Lisbon
Latitude = 49.012798, Longitude = 2.550000, Altitude = 119.481600m, TAS = 300.000000, Location = Paris
Latitude = 55.408798, Longitude = 37.906300, Altitude = 179.222400m, TAS = 300.000000, Location = Moscow
Latitude = 60.193901, Longitude = 11.100400, Altitude = 207.568800m, TAS = 300.000000, Location = Oslo
Latitude = 41.800278, Longitude = 12.238889, Altitude = 3.962400m, TAS = 300.000000, Location = Rome
Latitude = 40.471926, Longitude = -3.562640, Altitude = 608.990400m, TAS = 300.000000, Location = Madrid
Latitude = 32.697899, Longitude = -16.774500, Altitude = 58.521600m, TAS = 300.000000, Location = Funchal
Latitude = 37.741199, Longitude = -25.697901, Altitude = 78.943200m, TAS = 300.000000, Location = Ponta Delgada
Latitude = 40.639801, Longitude = -73.778900, Altitude = 3.962400m, TAS = 300.000000, Location = New York
Latitude = 44.880798, Longitude = -63.508598, Altitude = 145.389600m, TAS = 300.000000, Location = Halifax
Latitude = 51.470600, Longitude = -0.461941, Altitude = 25.298400m, TAS = 300.000000, Location = London

=== From Lisbon to Paris ===
Lisbon has coordinates 38.781300 -9.135920 and altitude 113.995200m, Paris has coordinates 49.012798 2.550000 and altitude 119.481600m
Distance between waypoints: 1471605.563906m, Distance each segment: 18000.000000m, Subpoints: 81.755865
Longitude = 38.912855, Latitude = -9.015196, Altitude = 114.000686m, Distance left = 1453605.243439m, Subpoint 0
Longitude = 39.044286, Latitude = -8.894025, Altitude = 114.006167m, Distance left = 1435604.922940m, Subpoint 1
Longitude = 39.175590, Latitude = -8.772402, Altitude = 114.011643m, Distance left = 1417604.602409m, Subpoint 2
Longitude = 39.306768, Latitude = -8.650324, Altitude = 114.017113m, Distance left = 1399604.281845m, Subpoint 3
Longitude = 39.437818, Latitude = -8.527788, Altitude = 114.022577m, Distance left = 1381603.961250m, Subpoint 4
Longitude = 39.568739, Latitude = -8.404790, Altitude = 114.028036m, Distance left = 1363603.640622m, Subpoint 5
Longitude = 39.699530, Latitude = -8.281327, Altitude = 114.033490m, Distance left = 1345603.319963m, Subpoint 6
Longitude = 39.830189, Latitude = -8.157396, Altitude = 114.038938m, Distance left = 1327602.999271m, Subpoint 7
Longitude = 39.960716, Latitude = -8.032992, Altitude = 114.044381m, Distance left = 1309602.678548m, Subpoint 8
Longitude = 40.091110, Latitude = -7.908113, Altitude = 114.049818m, Distance left = 1291602.357793m, Subpoint 9
Longitude = 40.221369, Latitude = -7.782754, Altitude = 114.055250m, Distance left = 1273602.037006m, Subpoint 10
Longitude = 40.351492, Latitude = -7.656913, Altitude = 114.060676m, Distance left = 1255601.716187m, Subpoint 11
Longitude = 40.481479, Latitude = -7.530586, Altitude = 114.066097m, Distance left = 1237601.395337m, Subpoint 12
Longitude = 40.611327, Latitude = -7.403768, Altitude = 114.071512m, Distance left = 1219601.074455m, Subpoint 13
Longitude = 40.741036, Latitude = -7.276458, Altitude = 114.076922m, Distance left = 1201600.753541m, Subpoint 14
Longitude = 40.870605, Latitude = -7.148649, Altitude = 114.082327m, Distance left = 1183600.432596m, Subpoint 15
Longitude = 41.000032, Latitude = -7.020340, Altitude = 114.087726m, Distance left = 1165600.111620m, Subpoint 16
Longitude = 41.129316, Latitude = -6.891527, Altitude = 114.093120m, Distance left = 1147599.790612m, Subpoint 17
Longitude = 41.258456, Latitude = -6.762205, Altitude = 114.098509m, Distance left = 1129599.469572m, Subpoint 18
Longitude = 41.387451, Latitude = -6.632370, Altitude = 114.103892m, Distance left = 1111599.148502m, Subpoint 19
Longitude = 41.516299, Latitude = -6.502020, Altitude = 114.109270m, Distance left = 1093598.827399m, Subpoint 20
Longitude = 41.645000, Latitude = -6.371150, Altitude = 114.114642m, Distance left = 1075598.506266m, Subpoint 21
Longitude = 41.773551, Latitude = -6.239757, Altitude = 114.120009m, Distance left = 1057598.185102m, Subpoint 22
Longitude = 41.901953, Latitude = -6.107836, Altitude = 114.125370m, Distance left = 1039597.863906m, Subpoint 23
Longitude = 42.030202, Latitude = -5.975384, Altitude = 114.130727m, Distance left = 1021597.542679m, Subpoint 24
Longitude = 42.158299, Latitude = -5.842397, Altitude = 114.136078m, Distance left = 1003597.221421m, Subpoint 25
Longitude = 42.286241, Latitude = -5.708870, Altitude = 114.141423m, Distance left = 985596.900132m, Subpoint 26
Longitude = 42.414028, Latitude = -5.574801, Altitude = 114.146763m, Distance left = 967596.578812m, Subpoint 27
Longitude = 42.541659, Latitude = -5.440184, Altitude = 114.152098m, Distance left = 949596.257461m, Subpoint 28
Longitude = 42.669131, Latitude = -5.305016, Altitude = 114.157428m, Distance left = 931595.936080m, Subpoint 29
Longitude = 42.796443, Latitude = -5.169293, Altitude = 114.162752m, Distance left = 913595.614667m, Subpoint 30
Longitude = 42.923594, Latitude = -5.033011, Altitude = 114.168071m, Distance left = 895595.293223m, Subpoint 31
Longitude = 43.050584, Latitude = -4.896165, Altitude = 114.173384m, Distance left = 877594.971749m, Subpoint 32
Longitude = 43.177409, Latitude = -4.758752, Altitude = 114.178692m, Distance left = 859594.650244m, Subpoint 33
