City,Latitude,Longitude,Altitude,TAS
Lisbon,38.7812995911,-9.13591957092,0,0
Paris,49.0127983093,2.54999995232,0,0
Moscow,55.40879821777344,37.90629959106445,0,0
Oslo,60.193901062012,11.100399971008,0,0
Rome,41.8002778,12.2388889,0,0
Madrid,40.471926,-3.56264,0,0
Funchal,32.697898864746,-16.774499893188,0,0
Ponta Delgada,37.7411994934,-25.6979007721,0,0
New York,40.63980103,-73.77890015,0,0
Halifax,44.8807983398,-63.5085983276
London,51.4706,-0.461941,0,0
Lisbon,38.7812995911,-9.13591957092,0,0
